id, sentence
1, "The result is a sumptuous time-teasing story."
2, "The romantic fatalism is so lush that you're invited to get lost in it."
3, "Quite simply an incomparably sublime work of art, a triumph of lyricism over narrative in the cinema, and the most exquisite homage to the beauty of women it has ever been my privilege to witness on the screen."
4, "Wong offers an artful meditation on the nature of love, making effective use of color schemes (yellows, greens and reds), placid shotmaking and diverse music to deliver a sultry portrait of postwar Hong Kong."
5, "Wwithout a doubt, it's seductively perplexing and devilishly good-looking -- and if you like it, you'll probably find that one viewing isn't enough."
6, "For all its balance and grandeur, 2046 is the most nervous of Wong's films."
7, "2046 thus comes to encapsulate everything to which Wong (and, in turn, his audience) keeps returning."
8, "In the mood for sublimity"
9, "Seductive and luscious, a cinematic smorgasbord of sensuous delight."
10, "Here, the mystery of the deepest recesses of human emotion are plundered for cinematic play."
